,team,conf,conf_rank,stars_5,stars_4,stars_3,num_star_players,avg_recruit_score,composite_score,year
354,Tennessee,SEC,4,1,7,8,16,87.43,231.39,2003
355,South Carolina,SEC,5,1,4,1,6,83.8,211.16,2003
356,Mississippi State,SEC,6,1,3,1,5,83.1,208.22,2003
357,Auburn,SEC,7,0,4,1,5,84.3,200.29,2003
358,Ole Miss,SEC,8,1,0,1,2,82,166.37,2003
359,Alabama,SEC,9,0,3,9,12,82.71,156.58,2003
360,Arkansas,SEC,10,0,1,1,2,81.43,155.43,2003
361,Vanderbilt,SEC,11,0,1,5,6,78.48,116.07,2003
362,Kentucky,SEC,12,0,1,0,1,92.68,22.68,2003
363,SMU,AAC,1,0,0,1,1,79.57,134.26,2003
364,Tulane,AAC,2,0,0,1,1,79.37,126.36,2003
365,Houston,AAC,3,0,0,1,1,79.37,125.88,2003
366,Temple,AAC,4,0,1,4,5,78.27,120.41,2003
367,Memphis,AAC,5,0,0,8,8,78.73,117.27,2003
368,UCF,AAC,6,0,0,8,8,77.9,109,2003
369,Tulsa,AAC,7,0,1,3,4,77.94,103.19,2003
370,USF,AAC,8,0,0,5,5,77.38,97.77,2003
371,Connecticut,AAC,9,0,0,4,4,77.41,87.69,2003
372,Cincinnati,AAC,10,0,0,1,1,77,82.93,2003
373,East Carolina,AAC,11,0,0,2,2,77.02,82.19,2003
374,Louisiana Tech,C-USA,1,0,0,1,1,80.78,130.03,2003
375,Middle Tennessee State,C-USA,2,0,0,5,5,77.38,97.77,2003
376,Southern Miss,C-USA,3,0,0,4,4,77.67,95.96,2003
377,North Texas,C-USA,4,0,0,2,2,77.36,94.48,2003
378,Rice,C-USA,5,0,0,4,4,77.59,91.03,2003
379,UAB,C-USA,6,0,0,2,2,76.91,84.94,2003
380,Marshall,C-USA,7,0,0,3,3,77.29,82.05,2003
381,UTEP,C-USA,8,0,0,0,0,76.67,63.41,2003
382,Central Michigan,MAC,1,0,0,3,3,77.54,92.09,2003
383,Bowling Green,MAC,2,0,0,4,4,77.27,90.32,2003
384,Toledo,MAC,3,0,0,2,2,77,82.91,2003
385,Northern Illinois,MAC,4,0,0,1,1,76.83,79.6,2003
386,Akron,MAC,5,0,0,1,1,76.84,78.88,2003
387,Kent State,MAC,6,0,0,0,0,76.67,78.45,2003
388,Western Michigan,MAC,7,0,0,1,1,76.85,77.98,2003
389,Eastern Michigan,MAC,8,0,0,0,0,76.67,74.64,2003
390,Buffalo,MAC,9,0,0,0,0,76.67,73.52,2003
391,Ball State,MAC,10,0,0,0,0,76.67,68.5,2003
392,Miami (OH),MAC,11,0,0,0,0,76.67,68.5,2003
393,Ohio,MAC,12,0,0,0,0,76.67,66.15,2003
394,San Diego State,M-West,1,0,2,6,8,78.69,131.79,2003
395,UNLV,M-West,2,0,1,4,5,78.19,113.89,2003
396,Fresno State,M-West,3,0,0,5,5,78.42,108,2003
397,Colorado State,M-West,4,0,0,9,9,78.1,103.13,2003
398,Nevada,M-West,5,0,1,1,2,77.5,97.84,2003
399,Hawaii,M-West,6,0,0,4,4,77.46,93.21,2003
400,San Jose State,M-West,7,0,0,3,3,77.54,92.09,2003
401,Utah State,M-West,8,0,0,3,3,77.25,90.83,2003
402,New Mexico,M-West,9,0,0,3,3,77.37,88.78,2003
403,Wyoming,M-West,10,0,0,0,0,76.67,73.52,2003
404,Boise State,M-West,11,0,0,1,1,76.9,71.83,2003
405,Air Force,M-West,12,0,0,0,0,76.67,13.29,2003
406,Montana,Big-Sky,NA,NA,NA,NA,NA,0,0,2003
407,Maine,CAA,NA,NA,NA,NA,NA,0,0,2003
408,New Hampshire,CAA,NA,NA,NA,NA,NA,0,0,2003
409,Towson,CAA,NA,NA,NA,NA,NA,0,0,2003
410,Brown,Ivy,NA,NA,NA,NA,NA,0,0,2003
411,Bethune-Cookman,MEAC,NA,NA,NA,NA,NA,0,0,2003
412,Hampton,MEAC,NA,NA,NA,NA,NA,0,0,2003
413,Southern Illinois,MVC,1,0,0,0,0,76.67,6.67,2003
414,Arkansas State,SBC,1,0,1,1,2,77.5,92.91,2003
415,Troy,SBC,2,0,0,4,4,77.22,90.91,2003
416,Louisiana,SBC,3,0,0,2,2,77.27,90.56,2003
417,Idaho,SBC,4,0,0,4,4,77.33,89.31,2003
418,Louisiana-Monroe,SBC,5,0,0,0,0,76.67,77.6,2003
419,New Mexico State,SBC,6,0,0,2,2,77.78,76.7,2003
420,Florida State,ACC,1,2,1,1,4,90.65,292.97,2004
421,Miami,ACC,2,4,8,1,13,89.21,291.61,2004
422,North Carolina,ACC,3,0,3,1,4,82.72,185.1,2004
423,Boston College,ACC,4,1,1,1,3,82.53,177.34,2004
424,Virginia Tech,ACC,5,0,4,8,12,83.29,175.27,2004
