"year","month","day","team","opponent","location","teamscore","oppscore","OT"
2017,2,5,"Furman","Ohio St.","V",6,12,NA
2017,2,11,"Furman","North Carolina","H",3,7,NA
2017,2,18,"Furman","Sacred Heart","N",8,9,NA
2017,2,26,"Furman","Mt. St. Mary's","V",14,7,NA
2017,3,4,"Furman","Michigan","H",5,7,NA
2017,3,7,"Furman","Penn St.","V",10,12,NA
2017,3,18,"Furman","Bellarmine","H",19,6,NA
2017,3,25,"Furman","Mercer","H",11,10,NA
2017,4,1,"Furman","Jacksonville","V",15,9,NA
2017,4,8,"Furman","Air Force","H",8,7,NA
2017,4,15,"Furman","High Point","V",13,8,NA
2017,4,22,"Furman","VMI","H",18,3,NA
2017,4,29,"Furman","Richmond","V",4,13,NA
2017,5,4,"Furman","Richmond","V",6,13,NA
2017,2,14,"Georgetown","High Point","V",3,9,NA
2017,2,18,"Georgetown","Notre Dame","N",10,16,NA
2017,2,25,"Georgetown","Towson","H",10,11,NA
2017,3,4,"Georgetown","Hofstra","H",9,11,NA
2017,3,7,"Georgetown","Robert Morris","H",12,7,NA
2017,3,11,"Georgetown","Hobart and William Smith Colleges","V",16,6,NA
2017,3,18,"Georgetown","Duke","H",7,12,NA
2017,3,22,"Georgetown","Loyola Maryland","V",10,11,NA
2017,3,25,"Georgetown","Marquette","H",10,11,NA
2017,4,1,"Georgetown","Denver","V",11,20,NA
2017,4,8,"Georgetown","Providence","V",7,13,NA
2017,4,15,"Georgetown","Villanova","H",12,17,NA
2017,4,18,"Georgetown","Mt. St. Mary's","V",11,9,NA
2017,4,29,"Georgetown","St. John's (NY)","H",14,4,NA
2017,2,17,"Hampton","Roberts Wesleyan","H",8,20,NA
2017,2,25,"Hampton","Dist. Columbia","H",15,19,NA
2017,3,4,"Hampton","Greensboro","H",7,5,NA
2017,3,10,"Hampton","Wagner","V",3,10,NA
2017,3,25,"Hampton","Ohio Valley","V",6,11,NA
2017,4,1,"Hampton","VMI","H",1,14,NA
2017,4,8,"Hampton","St. Thomas Aquinas","V",7,13,NA
2017,4,15,"Hampton","NJIT","H",3,17,NA
2017,2,18,"Hartford","Boston U.","H",5,12,NA
2017,2,25,"Hartford","Bryant","V",11,17,NA
2017,2,28,"Hartford","Manhattan","H",13,14,2
2017,3,4,"Hartford","Jacksonville","H",15,3,NA
2017,3,11,"Hartford","Quinnipiac","V",11,9,NA
2017,3,18,"Hartford","Massachusetts","H",10,12,NA
2017,3,21,"Hartford","Marist","H",9,3,NA
2017,3,26,"Hartford","Stony Brook","H",9,13,NA
2017,4,1,"Hartford","Vermont","V",15,13,NA
2017,4,8,"Hartford","Binghamton","V",9,10,NA
2017,4,15,"Hartford","UMass Lowell","H",11,12,NA
2017,4,18,"Hartford","Sacred Heart","H",14,12,NA
2017,4,22,"Hartford","UMBC","H",13,8,NA
2017,4,29,"Hartford","Albany (NY)","V",10,16,NA
2017,2,18,"Harvard","UMass Lowell","V",14,9,NA
2017,2,21,"Harvard","Holy Cross","V",12,9,NA
2017,2,25,"Harvard","Massachusetts","H",11,7,NA
2017,3,4,"Harvard","Vermont","H",13,10,NA
2017,3,11,"Harvard","Penn St.","H",12,15,NA
2017,3,18,"Harvard","Brown","V",8,13,NA
2017,3,21,"Harvard","Boston U.","V",8,13,NA
2017,3,25,"Harvard","Dartmouth","V",14,7,NA
2017,3,29,"Harvard","Albany (NY)","H",13,15,NA
2017,4,8,"Harvard","Cornell","H",9,12,NA
2017,4,15,"Harvard","Penn","H",10,14,NA
2017,4,22,"Harvard","Princeton","V",9,12,NA
2017,4,29,"Harvard","Yale","H",9,8,NA
2017,2,10,"High Point","Duke","V",5,10,NA
2017,2,14,"High Point","Georgetown","H",9,3,NA
2017,2,18,"High Point","Maryland","V",5,19,NA
2017,2,25,"High Point","St. John's (NY)","H",15,6,NA
2017,3,1,"High Point","Virginia","V",12,18,NA
2017,3,5,"High Point","Robert Morris","H",7,9,NA
2017,3,11,"High Point","Providence","V",8,17,NA
2017,3,17,"High Point","VMI","V",11,5,NA
2017,3,25,"High Point","Richmond","H",4,12,NA
2017,4,1,"High Point","Mercer","V",12,13,1
2017,4,8,"High Point","Bellarmine","V",5,7,NA
2017,4,15,"High Point","Furman","H",8,13,NA
2017,4,22,"High Point","Jacksonville","V",13,9,NA
2017,4,29,"High Point","Air Force","H",11,16,NA
2017,2,11,"Hobart and William Smith Colleges","Penn St.","H",15,21,NA
2017,2,18,"Hobart and William Smith Colleges","Siena","H",16,15,NA
2017,2,25,"Hobart and William Smith Colleges","Cornell","H",16,8,NA
2017,3,5,"Hobart and William Smith Colleges","Binghamton","V",6,12,NA
2017,3,8,"Hobart and William Smith Colleges","Colgate","V",6,13,NA
2017,3,11,"Hobart and William Smith Colleges","Georgetown","H",6,16,NA
2017,3,14,"Hobart and William Smith Colleges","Canisius","H",18,11,NA
2017,3,18,"Hobart and William Smith Colleges","Wagner","H",17,5,NA
2017,3,25,"Hobart and William Smith Colleges","Sacred Heart","V",7,8,NA
2017,4,5,"Hobart and William Smith Colleges","Syracuse","H",11,17,NA
2017,4,8,"Hobart and William Smith Colleges","Saint Joseph's","V",8,7,1
2017,4,15,"Hobart and William Smith Colleges","Bryant","H",13,6,NA
2017,4,22,"Hobart and William Smith Colleges","Mt. St. Mary's","H",15,8,NA
2017,4,29,"Hobart and William Smith Colleges","Robert Morris","V",18,17,NA
2017,5,4,"Hobart and William Smith Colleges","Sacred Heart","H",15,9,NA
2017,5,6,"Hobart and William Smith Colleges","Bryant","H",4,5,NA
2017,2,18,"Hofstra","Monmouth","H",11,9,NA
2017,2,25,"Hofstra","Princeton","V",10,8,NA
2017,2,28,"Hofstra","NJIT","H",20,4,NA
2017,3,4,"Hofstra","Georgetown","V",11,9,NA
2017,3,11,"Hofstra","North Carolina","V",11,9,NA
2017,3,18,"Hofstra","Providence","H",11,10,NA
2017,3,21,"Hofstra","Stony Brook","H",11,9,NA
2017,3,25,"Hofstra","St. John's (NY)","H",9,6,NA
2017,4,1,"Hofstra","Fairfield","V",10,6,NA
2017,4,8,"Hofstra","Delaware","V",11,9,NA
2017,4,15,"Hofstra","Drexel","H",12,13,NA
2017,4,22,"Hofstra","Massachusetts","H",15,8,NA
2017,4,29,"Hofstra","Towson","V",8,10,NA
2017,5,4,"Hofstra","Massachusetts","N",12,13,NA
2017,2,11,"Holy Cross","Providence","H",4,10,NA
2017,2,18,"Holy Cross","Vermont","V",8,14,NA
2017,2,21,"Holy Cross","Harvard","H",9,12,NA
2017,2,25,"Holy Cross","Lehigh","H",14,8,NA
2017,3,4,"Holy Cross","Loyola Maryland","V",9,16,NA
2017,3,11,"Holy Cross","Bucknell","V",10,8,NA
2017,3,18,"Holy Cross","Army West Point","H",4,10,NA
2017,3,21,"Holy Cross","Brown","V",14,17,NA
2017,3,25,"Holy Cross","Marist","V",5,8,NA
2017,4,2,"Holy Cross","Navy","H",4,11,NA
2017,4,8,"Holy Cross","Lafayette","V",10,5,NA
2017,4,15,"Holy Cross","Colgate","H",12,11,NA
2017,4,21,"Holy Cross","Boston U.","V",11,12,1
